,data,label
0,MRART-Preproc/subjects/sub-000103/ses-standard/t1_linear/sub-000103_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
3,MRART-Preproc/subjects/sub-000148/ses-standard/t1_linear/sub-000148_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
6,MRART-Preproc/subjects/sub-000149/ses-standard/t1_linear/sub-000149_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
9,MRART-Preproc/subjects/sub-000159/ses-standard/t1_linear/sub-000159_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
12,MRART-Preproc/subjects/sub-000175/ses-standard/t1_linear/sub-000175_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
13,MRART-Preproc/subjects/sub-000175/ses-headmotion1/t1_linear/sub-000175_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
15,MRART-Preproc/subjects/sub-000179/ses-standard/t1_linear/sub-000179_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
18,MRART-Preproc/subjects/sub-000183/ses-standard/t1_linear/sub-000183_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
19,MRART-Preproc/subjects/sub-000183/ses-headmotion1/t1_linear/sub-000183_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
33,MRART-Preproc/subjects/sub-012322/ses-standard/t1_linear/sub-012322_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
47,MRART-Preproc/subjects/sub-107738/ses-standard/t1_linear/sub-107738_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
50,MRART-Preproc/subjects/sub-108142/ses-standard/t1_linear/sub-108142_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
51,MRART-Preproc/subjects/sub-108142/ses-headmotion1/t1_linear/sub-108142_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
56,MRART-Preproc/subjects/sub-122916/ses-standard/t1_linear/sub-122916_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
57,MRART-Preproc/subjects/sub-122916/ses-headmotion1/t1_linear/sub-122916_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
62,MRART-Preproc/subjects/sub-127867/ses-standard/t1_linear/sub-127867_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
63,MRART-Preproc/subjects/sub-127867/ses-headmotion1/t1_linear/sub-127867_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,1
70,MRART-Preproc/subjects/sub-143104/ses-standard/t1_linear/sub-143104_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
73,MRART-Preproc/subjects/sub-149050/ses-standard/t1_linear/sub-149050_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
76,MRART-Preproc/subjects/sub-152686/ses-standard/t1_linear/sub-152686_ses-standard_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
77,MRART-Preproc/subjects/sub-152686/ses-headmotion1/t1_linear/sub-152686_ses-headmotion1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz,0
